,tweet_id,user_id,location_id,created_at,language,source,tweet_mentions,reply_settings,possibly_sensitive,like_count,retweet_count,quote_count,reply_count,text,country,place_type,location_geo,longitude,latitude
0,958476285252198401,1161320881,6d6198a460e4073a,2018-01-30 23:05:28+00:00,nl,No source,No mention,everyone,False,0,0,0,0,"Als gevoelens voor een persoon een aan en uit switch hadden, zou ik nog niet weten welke kant ik de knop zou zetten",Belgique,city,Malines,51.0348807,4.45953225
4,955907421922263042,849737761028538368,2a8a74486cd0d519,2018-01-23 20:57:43+00:00,nl,No source,No mention,everyone,False,2,0,0,0,En haal gevoelens uit de weg,Belgique,city,Anvers,51.2605565,4.35819025
12,950296544204423168,829005078166110208,2a8a74486cd0d519,2018-01-08 09:22:06+00:00,nl,No source,linavanrykeghem,everyone,False,1,0,0,0,@linavanrykeghem Ik heb nog nooit zo veel ik moet naar de wc gevoelens gehad,Belgique,city,Anvers,51.2605565,4.35819025
13,950071685847404544,806590122426847232,2a8a74486cd0d519,2018-01-07 18:28:36+00:00,nl,No source,No mention,everyone,False,4,0,0,1,"Nu heeft een meisje “gevoelens” voor mijn broer na 1 week IGdm, van Oostenrijk, ze zegt dat hij moet komen...",Belgique,city,Anvers,51.2605565,4.35819025
14,949033037865668608,583144380,2a8a74486cd0d519,2018-01-04 21:41:23+00:00,nl,No source,No mention,everyone,False,0,0,0,1,"en wat ik zeker beu ben is deze ""im in love"" gevoelens .. uit welke dode hoek komen die 😂",Belgique,city,Anvers,51.2605565,4.35819025
17,967053919020027906,949202219399868416,2a8a74486cd0d519,2018-02-23 15:09:55+00:00,nl,No source,No mention,everyone,False,0,0,0,0,Ik snap echt nie hoe mensen me elkaars gevoelens kunnen spelen,Belgique,city,Anvers,51.2605565,4.35819025
23,964465507951955968,237332694,2a8a74486cd0d519,2018-02-16 11:44:30+00:00,nl,No source,No mention,everyone,False,17,8,0,1,Als je wacht to ze al haar gevoelens gooit en haar verleden/jeugd vertelt om het dan tegen haar te gebruiken ben je TRASH. Emotional abusive en psycho idc idc,Belgique,city,Anvers,51.2605565,4.35819025
24,964463280680046592,237332694,2a8a74486cd0d519,2018-02-16 11:35:39+00:00,nl,No source,No mention,everyone,False,22,20,0,1,"Als je ooit een chick express verliefd heb gemaakt gewoon voor sex en daarna nooit meer iets laten weten, ben je trash. Ik geef geen fuck hoe naïef zij was of dat ze niet zo maar alles moest geloven. Je hebt misbruik genomen van iemands gevoelens punt uit.",Belgique,city,Anvers,51.2605565,4.35819025
25,962680075836645376,254092073,2a8a74486cd0d519,2018-02-11 13:29:50+00:00,nl,No source,No mention,everyone,False,8,0,0,0,"Ik word mental als ik zie naar de manier waarop old school rappers hun meest depressieve gevoelens en shit uiten in hun songs op zo’n grave manier, da’s gewoon gestoord hoe een genieën dat zijn op lyrical vlak",Belgique,city,Anvers,51.2605565,4.35819025
28,962312204258365440,2952133811,2a8a74486cd0d519,2018-02-10 13:08:03+00:00,nl,No source,No mention,everyone,False,1,0,0,1,@HetGreatDaisy Die chickie ging derna nog goe naar een instelling voor haar gevoelens,Belgique,city,Anvers,51.2605565,4.35819025
31,961185614560407552,1553707728,2a8a74486cd0d519,2018-02-07 10:31:23+00:00,nl,No source,No mention,everyone,False,0,0,0,0,Zet me gevoelens liever aan de kant,Belgique,city,Anvers,51.2605565,4.35819025
33,960257771185811457,69262746,2a8a74486cd0d519,2018-02-04 21:04:28+00:00,nl,No source,FredPaulussen,everyone,False,1,0,0,1,@FredPaulussen Don’t hurt ongeboren baby Pims gevoelens,Belgique,city,Anvers,51.2605565,4.35819025
36,979382776544878592,114728228,52e0f89ce306d8eb,2018-03-29 15:40:24+00:00,nl,No source,No mention,everyone,False,2,0,0,0,"#tempationisland  
Waar je na 2 dagen al gevoelens krijgt 🤦🏾‍♂️",Belgique,city,Turnhout,51.32898145,4.93672415
45,973986072458866692,144224702,74178157a15de42d,2018-03-14 18:15:50+00:00,nl,No source,No mention,everyone,False,3,0,0,0,"Ik haat het als mensen zeggen “België is een vrij land en ik mag zeggen wat ik wil”, bitch no stfu ge moogt denken wat ge wilt maar als ge iets zegt probeer dan tenminste rekening te houden met gevoelens van anderen.",Belgique,city,Bornem,51.09228505,4.249912
49,972841884820426752,3246814533,2a8a74486cd0d519,2018-03-11 14:29:14+00:00,nl,No source,No mention,everyone,False,0,0,0,0,Gevoelens zijn niet de juiste raadgevers💯✖️,Belgique,city,Anvers,51.2605565,4.35819025
53,972468603768406016,141741970,2a8a74486cd0d519,2018-03-10 13:45:57+00:00,nl,No source,No mention,everyone,False,0,0,0,1,Als stel zo mega knuffelend over straat lopen. Idk hoor... mag wel wat minder. Anderen hebben ook gevoelens?🤔,Belgique,city,Anvers,51.2605565,4.35819025
61,989614881174368257,2394440089,6a52fb3c0e4f7863,2018-04-26 21:19:08+00:00,nl,No source,No mention,everyone,False,3,0,0,0,Wauw Deborah goe gedaan u gevoelens zo onder controle kunnen houden #temptation https://t.co/gAHV9X2rrE,Belgique,city,Duffel,51.09475725,4.5201066999999995
68,986012681017622533,2176378218,0a25d830ec1e8339,2018-04-16 22:45:17+00:00,nl,No source,No mention,everyone,False,4,0,0,2,Deze aflevering van The walking dead heeft rwina gemaakt me mijn gevoelens man,Belgique,city,Schilde,51.257782250000005,4.58132635
71,984524993395658752,745246388947197952,fdcd591ad1a5ebdf,2018-04-12 20:13:44+00:00,nl,No source,No mention,everyone,False,6,0,0,0,denk eerst na wat je zelf wilt voor je met iemand zijn gevoelens speelt,Belgique,city,Essen,51.44882545,4.463723
75,981221356137340928,1609028244,a2e38f0f2892c5d8,2018-04-03 17:26:16+00:00,nl,No source,No mention,everyone,False,2,0,0,0,"Als ik al mijn gevoelens zou uitspreken, amai maat",Belgique,city,Boom,51.09326795,4.3728812
77,980392887920807937,139546447,2a8a74486cd0d519,2018-04-01 10:34:13+00:00,nl,No source,No mention,everyone,False,22,3,0,0,"1 April is de beste dag om je crush te benaderen. Vertel dat je gevoelens hebt en als de reactie positief is, klaar, binnen. Moest die negatief zijn, friendzone of gwn gekke skip actie, gewoon 1 April zeggen. Zemah da was een grap maar low key ekte pijn voelen.",Belgique,city,Anvers,51.2605565,4.35819025
80,1000764113801416704,3429820179,572416d95b25a915,2018-05-27 15:42:12+00:00,nl,No source,No mention,everyone,False,0,0,0,0,Gevoelens in de knoop,Belgique,city,Brecht,51.32899025,4.63238675
81,1000282758814584842,3123366100,8a365853e0cda9b4,2018-05-26 07:49:28+00:00,nl,No source,jenzCools,everyone,False,1,0,0,0,@jenzCools Voila.  En proef van het leven en laat vooral menselijke gevoelens toe in je bestaan ;-)  Op dat punt hebben 'wij' toch een voorsprong op de anderen vermoed ik Jenz ;-))) Gniet van je weekend!,Belgique,city,Aartselaar,51.13038055,4.381335549999999
83,999697372073676800,4278625997,9bdffc9e3036603d,2018-05-24 17:03:21+00:00,nl,No source,No mention,everyone,False,3,2,0,0,"Gedachten en gevoelens zijn niet zichtbaar, dus oordeel niet over iets wat je niet kent.",Belgique,city,Zoersel,51.25658405,4.67580845
84,997123918841372673,735488222898356225,1e35b5b987da70cf,2018-05-17 14:37:22+00:00,nl,No source,"NBharuka,Koksalakn,RPesseroey",everyone,False,1,0,0,0,"@NBharuka @Koksalakn @RPesseroey Nu zie je wel ! Dieren hebben ook gevoelens en begrijpen veel,zij praten met ons je moet alleen luisteren     .",Belgique,city,Zwijndrecht,51.223332049999996,4.3237290999999995
85,996976508798427138,757676074792878084,ad0818e2fb208dde,2018-05-17 04:51:37+00:00,nl,No source,No mention,everyone,False,0,0,0,0,Mijn gevoelens voor u zijn zoooo intens wauw 😻,Belgique,city,Brasschaat,51.3100078,4.49961725
87,996015096676708353,254092073,2a8a74486cd0d519,2018-05-14 13:11:18+00:00,nl,No source,No mention,everyone,False,8,0,0,0,"Krijg schijt van grieten hun leugens tegenwoordig, vanaf als gij 18+ bent moet gij toch volwassen genoeg zijn om eerlijk te zijn over uw relatie, gevoelens, wat ge wilt en dergelijke",Belgique,city,Anvers,51.2605565,4.35819025
88,995025393739620357,3123366100,8a365853e0cda9b4,2018-05-11 19:38:35+00:00,nl,No source,"LinksVlaams,MickClm",everyone,False,1,0,0,1,"@LinksVlaams @MickClm Na mijn eerste lezing (morgen 2de lezing vanuit de papieren versie) zet ik met gemengde gevoelens en wil ik geen ""winnaar"" aanduiden.  Er worden m i afwisselend punten gescoord. Klopt wel dat elite de arbeider bij de socialisten heeft verjaagd ;-)",Belgique,city,Aartselaar,51.13038055,4.381335549999999
106,1005551927923478529,858263317969850370,2a8a74486cd0d519,2018-06-09 20:47:16+00:00,nl,No source,No mention,everyone,False,9,1,0,0,"sense 8, 1 van mijn favoriete series wordt afgesloten door een massive positive scene met op de achtergrond exact dezelfde muziek als waar ik mijn liedje op geschreven heb... zo veel gevoelens wow

Op dit moment is mijn leven echt compleet perfect man shiit",Belgique,city,Anvers,51.2605565,4.35819025
109,1004124702003154944,81689767,52e0f89ce306d8eb,2018-06-05 22:15:59+00:00,nl,No source,No mention,everyone,False,0,0,0,0,Wanneer je niet enkel letterlijk maar ook figuurlijk “groter” bent.... #respect #eerlijk #vrijheid #gevoelens #wetenwatjeaaniemandhebt #twijfels #voortoogvandemensen #oprecht #niemandisperfect #alzekerikniet #hebbenallemaalonsgebreken maar enkel de “groten” geven dit toe #excuses,Belgique,city,Turnhout,51.32898145,4.93672415
110,1004039079254773760,2409307549,6d6198a460e4073a,2018-06-05 16:35:45+00:00,nl,No source,Nieuwsblad_be,everyone,False,0,0,0,0,"@Nieuwsblad_be En dan beweren domme mensen dat dieren geen gevoelens of emoties hebben...Zij hebben die zo sterk als bij mensen, doch kunnen het niet zeggen en moeten gelaten hun lot ondergaan...",Belgique,city,Malines,51.0348807,4.45953225
117,1020627859344326656,784113198077272064,50a87753238ec07f,2018-07-21 11:13:38+00:00,nl,No source,No mention,everyone,False,12,3,1,2,Verzameling 21-juli gevoelens...😉 https://t.co/vuGBoKt0ay,Belgique,city,Herentals,51.15946015,4.82910865
120,1018994011804233728,949202219399868416,2a8a74486cd0d519,2018-07-16 23:01:19+00:00,nl,No source,No mention,everyone,False,0,0,0,1,Erg dat ik dit over mijn eigen ras moet zeggen dat de meeste nooit serieus zijn en altijd me een meisje haar gevoelens moeten spelen,Belgique,city,Anvers,51.2605565,4.35819025
121,1018961490848702464,3416775304,326027bf66fff962,2018-07-16 20:52:05+00:00,nl,No source,No mention,everyone,False,107,41,5,2,Mannelijk geslacht blijft me degouteren ik snap jullie niet. Wollah me ik snap jullie ik blijf er van verbaasd hoe jullie zo hard met gevoelens kunnen spelen phel jullie spelen voetbal putain bende imbeciles de merde wollah,Belgique,city,Kasterlee,51.2408069,4.9468399000000005
123,1017501254241710080,548591530,d4981b9e9f0695b5,2018-07-12 20:09:37+00:00,nl,No source,No mention,everyone,False,7,3,0,0,Ik vind gevoelens krijgen voor iemand echt angstaanjagend,Belgique,city,Hoogstraten,51.440363500000004,4.7586089000000005
124,1016032764477562880,404006311,2a8a74486cd0d519,2018-07-08 18:54:22+00:00,nl,No source,"arcinho,TheFev",everyone,False,0,0,0,0,@arcinho @TheFev Nog steeds anti-Belgische gevoelens in deze episode?,Belgique,city,Anvers,51.2605565,4.35819025
125,1014591995325665280,2302243012,cbccad0db97a1fff,2018-07-04 19:29:16+00:00,nl,No source,nathalieboon,everyone,False,0,0,0,0,@nathalieboon Hahahaha ok ik was effe over mijn gevoelens aant praten ok,Belgique,city,Kapellen,51.328623750000006,4.45498255
131,1032536718510047232,967161636728573952,2a8a74486cd0d519,2018-08-23 07:55:11+00:00,nl,No source,felixpakhuis,everyone,False,0,0,0,0,"De laatste #throwbackthursday! Mijn bezoek aan @felixpakhuis (een van de #smaakmeesters2017) bezorgde me gemengde gevoelens. Het hoofdgerecht was heerlijk, maar de bekroonde appeltaart voldeed niet aan de hoge verwachtingen.… https://t.co/FFQVEfv9Fh https://t.co/USfzhpJpRe",Belgique,city,Anvers,51.2605565,4.35819025
133,1031467069374693377,237332694,2a8a74486cd0d519,2018-08-20 09:04:47+00:00,nl,No source,No mention,everyone,False,0,0,0,0,@aquachicchan True 😭 maar idk what do no more want hij is zo leuk als vriend tbh maar kan gewoon geen gevoelens krijgen,Belgique,city,Anvers,51.2605565,4.35819025
134,1030370751206092800,1219125632,2a8a74486cd0d519,2018-08-17 08:28:25+00:00,nl,No source,"WilliamWilde2,Deopiniemaker",everyone,False,0,0,0,0,"@WilliamWilde2 @Deopiniemaker oh ja, dat is zoals ir-theoristen (Hedley Bull en anderen) dat hebben overgenomen, maar anomie voor Durkheim is een sociologisch concept, dat staat voor (onder andere, en complexer) eenzaamheid, gevoelens van nutteloosheid, normloosheid etc. etc",Belgique,city,Anvers,51.2605565,4.35819025
135,1028955461440208896,4848607288,2a8a74486cd0d519,2018-08-13 10:44:33+00:00,nl,No source,No mention,everyone,False,3,5,0,0,"Je had moeten Stacken je zat maar even goed , gevoelens aan de kant ik wil alleen weten hoe die 💸 voelt",Belgique,city,Anvers,51.2605565,4.35819025
144,1045409203572084736,813506256203902976,2a8a74486cd0d519,2018-09-27 20:25:51+00:00,nl,No source,No mention,everyone,False,1,0,0,0,Advocaat voor men gevoelens dus ik ken men rechten,Belgique,city,Anvers,51.2605565,4.35819025
147,1042502998562353152,3429820179,572416d95b25a915,2018-09-19 19:57:38+00:00,nl,No source,No mention,everyone,False,1,0,0,0,Gastjes van 16 die tegen mij zeggen “ik heb gevoelens voor u” en 2 dagen later een vriendin hebben😂 ik denk da gij gevoelens voor iedereen hebt dan🙃,Belgique,city,Brecht,51.32899025,4.63238675
148,1042053533170917376,367655172,2a8a74486cd0d519,2018-09-18 14:11:37+00:00,nl,No source,No mention,everyone,False,0,0,0,0,Gemengde gevoelens and im catch up,Belgique,city,Anvers,51.2605565,4.35819025
152,1039586335969996801,705149122110738434,6d6198a460e4073a,2018-09-11 18:47:51+00:00,nl,No source,No mention,everyone,False,10,7,0,1,"Desondanks alles wat er gebeurt is zijn mijn gevoelens voor u nog steeds dezelfde, ik zie u nog steeds verschrikkelijk graag en kan echt niet om met deze leegte...",Belgique,city,Malines,51.0348807,4.45953225
159,1053761085327790080,3429820179,572416d95b25a915,2018-10-20 21:33:15+00:00,nl,No source,No mention,everyone,False,1,0,0,0,"Wees gewoon eerlijk en zeg uw gevoelens, da maakt alles zoveel makkelijker.. dan hoef ik nie constant na te denken..",Belgique,city,Brecht,51.32899025,4.63238675
164,1051743200715702272,188265422,2a8a74486cd0d519,2018-10-15 07:54:54+00:00,nl,No source,No mention,everyone,False,0,0,0,0,Verkiezingsresultaten en coalities in #brussel check. Gemengde gevoelens,Belgique,city,Anvers,51.2605565,4.35819025
165,1051442512613822464,4692102571,2a8a74486cd0d519,2018-10-14 12:00:04+00:00,nl,No source,No mention,everyone,False,0,0,0,1,@melhayat_jung Traditionele partijen spelen ook in op de gevoelens van de kiezer door die argumenten te verkondigen.,Belgique,city,Anvers,51.2605565,4.35819025
167,1050864308517785601,861941965,2a8a74486cd0d519,2018-10-12 21:42:29+00:00,nl,No source,No mention,everyone,False,14,13,0,0,Triestig hoe sommige mensen zo dom kunnen zijn om met liefde en gevoelens te spelen alsof het niks is 🙃,Belgique,city,Anvers,51.2605565,4.35819025
173,1047834712872505345,164592527,2a8a74486cd0d519,2018-10-04 13:03:58+00:00,nl,No source,No mention,everyone,False,0,0,0,0,Wandel niet in je gevoelens,Belgique,city,Anvers,51.2605565,4.35819025
174,1047511789343322112,94388761,2a8a74486cd0d519,2018-10-03 15:40:47+00:00,nl,No source,No mention,everyone,False,16,1,0,2,"Ik haalde net een paar Naanbroodjes uit de oven en zei hardop 'Naandayo'.

Gemixte gevoelens hierover, tbh",Belgique,city,Anvers,51.2605565,4.35819025
176,1067775196927528960,89169581,50a87753238ec07f,2018-11-28 13:40:19+00:00,nl,No source,No mention,everyone,False,0,0,0,0,"Hoe je je negatieve gevoelens en gedachten kan gebruiken als een geweldig emotioneel GPS systeem.

Het is eigenlijk heel erg simpel - bijna om mee te lachen.  
Dus:

Als je je goed en… https://t.co/1FNqj7MQaZ",Belgique,city,Herentals,51.15946015,4.82910865
178,1067060393460330498,793378412505264128,4c9bbfa11e396ed1,2018-11-26 14:19:57+00:00,nl,No source,No mention,everyone,False,0,1,0,0,Mijn gevoelens hebben meestal gelijk,Belgique,city,Mortsel,51.175232550000004,4.4583958500000005
181,1065686027841478656,306904969,6d6198a460e4073a,2018-11-22 19:18:43+00:00,nl,No source,No mention,everyone,False,3,0,0,0,Negatieve gevoelens leiden tot verwaarlozing.,Belgique,city,Malines,51.0348807,4.45953225
195,1077540851889459200,2794351164,2a8a74486cd0d519,2018-12-25 12:25:33+00:00,nl,No source,mehmet_kara03,everyone,False,1,0,0,1,@mehmet_kara03 Gij klinkt als een wijf wiens hart is gebroken blijf in uw zone abicim ik wou uw gevoelens nie kwetsen,Belgique,city,Anvers,51.2605565,4.35819025
196,1077347829759332352,2794351164,beef10110d8ebbb8,2018-12-24 23:38:33+00:00,nl,No source,amani58_,everyone,False,0,0,0,0,@amani58_ Heb ik jullie gevoelens gekwetst smahle broer ik wist nie dat jullie 2000 kids zo gevoelig waren 😢,Belgique,city,Sint-Katelijne-Waver,51.0623327,4.5360727999999995
197,1077321800839806976,2794351164,beef10110d8ebbb8,2018-12-24 21:55:07+00:00,nl,No source,AmberSetta,everyone,False,0,0,0,0,@ambersetta We willen geen gevoelens kwetsen he 😅,Belgique,city,Sint-Katelijne-Waver,51.0623327,4.5360727999999995
199,1076153237252816896,2980012199,74db34727260380a,2018-12-21 16:31:40+00:00,nl,No source,"DaveSinardet,radio1be,ludoroels",everyone,False,0,0,0,0,"@DaveSinardet @radio1be @ludoroels Zoals steeds geeft men zijn mening zonder de inhoud te kennen en geeft men zijn persoonlijke gevoelens weer die niks met de bestuursovereenkomst te maken heeft. Typisch Sinardet,het valt wat tegen .",Belgique,city,Lint,51.12906055,4.49988735
202,1075355837454053376,2260525500,0a25d830ec1e8339,2018-12-19 11:43:05+00:00,nl,No source,SafaiDarya,everyone,False,0,0,0,0,@SafaiDarya Of mag dat niet uit 'respect' of politieke correctheid? Of beledigen we weer iemand? Iemand zijn gevoelens?,Belgique,city,Schilde,51.257782250000005,4.58132635
205,1073344728278671360,838057103948402688,2a8a74486cd0d519,2018-12-13 22:31:39+00:00,nl,No source,No mention,everyone,False,33,14,0,0,Ik heb gwn iemand nodig waarmee ik kan bellen en al mijn gevoelens kan uiten :(,Belgique,city,Anvers,51.2605565,4.35819025
207,1072636519406559232,462925415,e9347d8254723781,2018-12-11 23:37:29+00:00,nl,No source,LieselotVanMol,everyone,False,0,0,0,0,"@JorisssPoppe @LieselotVanMol Volledig met jullie eens. Jullie vertolken ook mijn wrange gevoelens tov een groot gedeelte van ons ""Vlaamse volk"".",Belgique,city,Geel,51.1658325,4.98608555
208,1072475437144698880,848241157968736257,2a8a74486cd0d519,2018-12-11 12:57:24+00:00,nl,No source,"juffratoertjes,ong_wanhoop",everyone,False,0,0,0,0,"@JuffraToertjes @ong_wanhoop Van dat kwetsen snap ik je wel , ik heb het ook al meegemaakt .. het doet heel veel pijn ik weet het maar het heeft mij niet tegen gehouden om opnieuw verliefd te worden ..zijn de gevoelens wederzijds ?",Belgique,city,Anvers,51.2605565,4.35819025
209,1070716657402896384,4850942416,e9347d8254723781,2018-12-06 16:28:38+00:00,nl,No source,No mention,everyone,False,0,0,0,1,Wanneer je weet dat niemand nog met je inzit... Mijn gevoelens zijn nooit echt belangrijk geweest. Maar nu is het echt erger dan erg. Nog nooit heb ik zo koud geweten. Ik denk niet dat jij ooit nog zal veranderen...,Belgique,city,Geel,51.1658325,4.98608555
