1,Antwerpen,Limburg,Oost_Vlaanderen,West_Vlaanderen,Vlaams_Brabant,Brussel
2,Antwerpen,Wijchmaal,Middelburg,Zonnebeke,Waanrode,Sint-Joost-ten-Node
3,Berendrecht,Hasselt,Gent,Brugge,Halle,Brussel
4,Lillo,Sint-Lambrechts-Herk,Mariakerke,Koolkerke,Buizingen,Laken
5,Zandvliet,Wimmertingen,Drongen,Hertsberge,Lembeek,Schaarbeek
6,Burcht,Kermt,Wondelgem,Oostkamp,Herfelingen,Etterbeek
7,Zwijndrecht,Spalbeek,Sint-Amandsberg,Ruddervoorde,Herne,Elsene
8,Deurne,Kuringen,Oostakker,Waardamme,Sint-Pieters-Kapelle,Sint-Gillis
9,Wijnegem,Stokrooie,Desteldonk,Sint-Andries,Bever,Anderlecht
10,Borgerhout,Stevoort,Mendonk,Sint-Michiels,Hoeilaart,Sint-Jans-Molenbeek
11,Borsbeek,Zonhoven,Sint-Kruis-Winkel,Loppem,Galmaarden,Koekelberg
12,Wommelgem,Helchteren,Gentbrugge,Veldegem,Tollembeek,Sint-Agatha-Berchem
13,Merksem,Houthalen,Ledeberg,Zedelgem,Vollezele,Ganshoren
14,Ekeren,Berbroek,Afsnee,Aartrijke,Oudenaken,Jette
15,Herentals,Donk,Sint-Denijs-Westrem,Knokke,Sint-Laureins-Berchem,Neder-Over-Heembeek
16,Morkhoven,Herk-de-Stad,Zwijnaarde,Westkapelle,Sint-Pieters-Leeuw,Haren
17,Noorderwijk,Schulen,Zelzate,Heist-aan-Zee,Ruisbroek,Evere
18,Hallaar,Halen,Destelbergen,Ramskapelle,Vlezenbeek,Sint-Pieters-Woluwe
19,Heist-op-den-Berg,Loksbergen,Heusden,Assebroek,Drogenbos,Oudergem
20,Booischot,Zelem,Beervelde,Sint-Kruis,Linkebeek,Watermaal-Bosvoorde
21,Itegem,Heusden,Lochristi,Damme,Sint-Genesius-Rode,Ukkel
22,Wiekevorst,Heusden-Zolder,Zaffelare,Hoeke,Beersel,Vorst
23,Schriek,Zolder,Zeveneken,Lapscheure,Lot,Sint-Lambrechts-Woluwe
24,Herselt,Linkhout,Gontrode,Moerkerke,Alsemberg,BHG
25,Ramsel,Lummen,Melle,Oostkerke,Dworp,Brusselaar
26,Houtvenne,Meldert,Nieuwkerken-Waas,Sijsele,Huizingen,Bruxellois
27,Hulshout,Alken,Sint-Niklaas,Blankenberge,Bogaarden,Bruxelloise
28,Westmeerbeek,Beringen,Belsele,Uitkerke,Heikruis,Brussels
29,Massenhoven,Beverlo,Sinaai-Waas,Houtave,Pepingen,Bruxelles
30,Viersel,Koersel,Beveren-Waas,Meetkerke,Elingen,bxl
31,Zandhoven,Paal,Haasdonk,Nieuwmunster,Beert,Ixelles
32,Pulderbos,Diepenbeek,Kallo,Zuienkerke,Bellingen,Auderghem
33,Pulle,Genk,Melsele,Dudzele,Dilbeek,Schaerbeek
34,Olen,Gellik,Vrasene,Lissewege,Sint-Martens-Bodegem,Saint-Gilles
35,Oevel,Lanaken,Doel,Zeebrugge,Sint-Ulriks-Kapelle,Molenbeek-Saint-Jean
36,Tongerlo,Neerharen,Kallo,Oostende,Itterbeek,Saint-Josse-ten-Noode
37,Westerlo,Veldwezelt,Kieldrecht,Stene,Groot-Bijgaarden,Woluwe-Saint-Lambert
38,Zoerle-Parwijs,Rekem,Verrebroek,Zandvoorde,Schepdaal,Woluve-Saint-Pierre
39,Herenthout,Eisden,Elversele,DeHaan,Asse,Uccle
40,Gierle,Leut,Steendorp,Klemskerke,Bekkerzeel,Forest
41,Lille,Maasmechelen,Temse,Wenduine,Kobbegem,Watermael-Boitsfort
42,Poederlee,Mechelen-aan-de-Maas,Tielrode,Vlissegem,Mollem,
43,Wechelderzande,Meeswijk,Bazel,Middelkerke,Relegem,
44,Grobbendonk,Opgrimbie,Kruibeke,Wilskerke,Zellik,
45,Bouwel,Vucht,Rupelmonde,Leffinge,Ternat,
46,Vorselaar,Boorsem,Daknam,Mannekensvere,Wambeek,
47,Turnhout,Uikhoven,Eksaarde,Schore,Sint-Katherina-Lombeek,
48,Rijkevorsel,Kessenich,Lokeren,Sint-Pieters-Kapelle,Mazenzele,
49,Hoogstraten,Kinrooi,De Klinge,Slijpe,Opwijk,
50,Meer,Molenbeersel,Meerdonk,Lombardsijde,Gaasbeek,
51,Minderhout,Ophoven,Sint-Gillis-Waas,Westende,Sint-Kwintens-Lennik,
52,Wortel,Dilsen,Sint-Pauwels,Bredene,Sint-Martens-Lennik,
53,Meerle,Dilsen-Stokkem,Moerbeke-Waas,Ettelgem,Gooik,
54,Merksplas,Elen,Wachtebeke,Oudenburg,Kester,
55,Beerse,Lanklaar,Kemzeke,Roksem,Leerbeek,
56,Vlimmeren,Rotem,Stekene,Westkerke,Oetingen,
57,Vosselaar,Stokkem,Appels,Gistel,Onze-Lieve-Vrouw-Lombeek,
58,Oud-Turnhout,Opglabbeek,Baasrode,Moere,Pamel,
59,Arendonk,As,Dendermonde,Snaaskerke,Roosdaal,
60,Ravels,Niel-bij-As,Grembergen,Zevekote,Strijtem,
61,Weelde,Ellikom,Mespelare,Bekegem,Borchtlombeek,
62,Poppel,Gruitrode,Oudegem,Eernegem,Liedekerke,
63,Baarle-Hertog,Meeuwen,Schoonaarde,Ichtegem,Wemmel,
64,Malle,Neerglabbeek,Sint-Gillis-Dendermonde,Jabbeke,Brussegem,
65,Oostmalle,Wijshagen,Hamme,Snellegem,Hamme,
66,Westmalle,Maaseik,Moerzeke,Stalhille,Merchtem,
67,Mol,Neeroeteren,Massemen,Varsenare,Affligem,
68,Eindhout,Opoeteren,Westrem,Zerkegem,Essene,
69,Vorst,Zutendaal,Wetteren,Kortrijk,Hekelgem,
70,Varendonk,sHerenelderen,Zele,Bissegem,Teralfene,
71,Veerle,Berg,Waasmunster,Heule,Peutie,
72,Geel,Diets-Heur,Buggenhout,Bellegem,Vilvoorde,
73,Meerhout,Haren,Opdorp,Kooigem,Melsbroek,
74,Kasterlee,Henis,Schellebelle,Marke,Perk,
75,Lichtaart,Kolmont,Serskamp,Rollegem,Steenokkerzeel,
76,Tielen,Koninksem,Wichelen,Aalbeke,Machelen,
77,Retie,Lauw,Kalken,Kuurne,Diegem,
78,Dessel,Mal,Laarne,Harelbeke,Londerzeel,
79,Balen,Neerrepen,Denderbelle,Bavikhove,Malderen,
80,Olmen,Nerem,Lebbeke,Hulste,Steenhuffel,
81,Koningshooikt,Overrepen,Wieze,Deerlijk,Grimbergen,
82,Lier,Piringen,Berlare,Zwevegem,Humbeek,
83,Broechem,Riksingen,Overmere,Heestert,Beigem,
84,Emblem,Rutten,Uitbergen,Moen,Strombeek-Bever,
85,Oelegem,Sluizen,Aalst,Otegem,Meise,
86,Ranst,Tongeren,Gijzegem,Sint-Denijs,Wolvertem,
87,Boechout,Vreren,Hofstade,Gullegem,Kapelle-op-den-Bos,
88,Vremde,Widooie,Baardegem,Moorsele,Nieuwenrode,
89,Hove,Herstappe,Herdersem,Wevelgem,Ramsdonk,
90,Lint,Kortessem,Meldert,Anzegem,Berg,
91,Kontich,Vliermaalroot,Moorsel,Gijzelbrechtegem,Buken,
92,Waarloos,Wintershoven,Erembodegem,Ingooigem,Kampenhout,
93,Bevel,Guigoven,Nieuwerkerken,Vichte,Nederokkerzeel,
94,Kessel,Vliermaal,Impe,Kaster,Nossegem,
95,Nijlen,Hoeselt,Lede,Tiegem,Zaventem,
96,Duffel,Romershoven,Oordegem,Avelgem,Sint-Stevens-Woluwe,
97,Beerzel,Sint-Huibrechts-Hern,Smetlede,Kerkhove,Sterrebeek,
98,Putte,Werm,Wanzele,Waarmaarde,Kraainem,
99,Berlaar,Schalkhoven,Appelterre-Eichem,Outrijve,Wezembeek-Oppem,
100,Gestel,Beverst,Denderwindeke,Bossuit,Eppegem,
101,Berchem,Bilzen,Lieferinge,Helkijn,Zemst,
102,Wilrijk,Eigenbilzen,Nederhasselt,Spiere,Hofstade,
103,Hemiksem,Grote-Spouwen,Ninove,Beerst,Elewijt,
104,Schelle,Hees,Okegem,Diksmuide,Weerde,
105,Aartselaar,Kleine-Spouwen,Voorde,Driekapellen,Leuven,
106,Mortsel,Mopertingen,Pollare,Esen,Heverlee,
107,Edegem,Munsterbilzen,Meerbeke,Kaaskerke,Kessel-Lo,
108,Hoboken,Rijkhoven,Neigem,Keiem,Wilsele,
109,Mechelen,Rosmeer,Aspelare,Lampernisse,Wijgmaal,
110,Walem,Waltwilder,Outer,Leke,Herent,
111,Heffen,Martenslinde,Aaigem,Nieuwkapelle,Veltem-Beisem,
112,Hombeek,Hoelbeek,Bambrugge,Oostkerke,Winksele,
113,Leest,Genoelselderen,Burst,Oudekapelle,Huldenberg,
114,Muizen,Herderen,Erondegem,Pervijze,Loonbeek,
115,Bonheiden,Kanne,Erpe,Sint-Jacobs-Kapelle,Neerijse,
116,Rijmenam,Membruggen,Mere,Stuivekenskerke,Ottenburg,
117,Blaasveld,Millen,Ottergem,Vladslo,Sint-Agatha-Rode,
118,Heindonk,Riemst,Vlekkem,Woumen,Oud-Heverlee,
119,Tisselt,Val-Meer,Denderhoutem,Handzame,Sint-Joris-Weert,
120,Willebroek,Vlijtingen,Haaltert,Kortemark,Blanden,
121,Reet,Vroenhoven,Heldergem,Werken,Haasrode,
122,Rumst,Zichen-Zussen-Bolder,Kerksken,Zarren,Vaalbeek,
123,Terhagen,Moelingen,Denderleeuw,Nieuwpoort,Bertem,
124,Niel,Sint-Martens-Voeren,Iddergem,Ramskapelle,Korbeek-Dijle,
125,Boom,Remersdaal,Welle,Sint-Joris,Leefdaal,
126,Sint-Katelijne-Waver,Sint-Pieters-Voeren,Geraardsbergen,Avekapelle,Kortenberg,
127,Onze-Lieve-Vrouw-Waver,Teuven,Goeferdinge,Booitshoeke,Erps-Kwerps,
128,Breendonk,s-Gravenvoeren,Moerbeke,Bulskamp,Everberg,
129,Liezele,Aalst,Nederboelare,DeMoeren,Meerbeek,
130,Puurs,Brustem,Onkerzele,Eggewaartskapelle,Duisburg,
131,Ruisbroek,Engelmanshoven,Ophasselt,Houtem,Tervuren,
132,Bornem,Gelinden,Overboelare,Steenkerke,Vossem,
133,Hingene,Groot-Gelmen,Viane,Veurne,Overijse,
134,Mariekerke,Halmaal,Zarlardinge,Vinkem,Rotselaar,
135,Weert,Kerkom-bij-Sint-Truiden,Grimminge,Wulveringem,Wezemaal,
136,Lippelo,Ordingen,Idegem,Zoutenaaie,Werchter,
137,Oppuurs,Sint-Truiden,Nieuwenhove,Oostvleteren,Tremelo,
138,Sint-Amands,Zepperen,Schendelbeke,Westvleteren,Baal,
139,Schoten,Duras,Smeerebbe-Vloerzegem,Woesten,Begijnendijk,
140,Essen,Gorsem,Waarbeke,Lo,Betekom,
141,Kalmthout,Runkelen,Zandbergen,Noordschote,Keerbergen,
142,Brasschaat,Wilderen,Bavegem,Pollinkhove,Haacht,
143,Hoevenen,Velm,Oombergen,Reninge,Tildonk,
144,Stabroek,Berlingen,Sint-Lievens-Houtem,Houthulst,Wespelaar,
145,Kapellen,Wellen,Vlierzele,Klerken,Boortmeerbeek,
146,Brecht,Herten,Zonnegem,Merkem,Hever,
147,Sint-Job-in-'t-Goor,Ulbeek,Letterhoutem,Adinkerke,Aarschot,
148,Sint-Lenaarts,Bommershoven,Herzele,DePanne,Gelrode,
149,s Gravenwezel,Borgloon,Hillegem,Koksijde,Langdorp,
150,Schilde,Broekom,Sint-Antelinks,Oostduinkerke,Rillaar,
151,Halle,Gors-Opleeuw,Sint-Lievens-Esse,Wulpen,Linden,
152,Zoersel,Gotem,Steenhuize-Wijnhuize,Bovekerke,Lubbeek,
153,Loenhout,Groot-Loon,Woubrechtegem,Koekelare,Binkom,
154,Wuustwezel,Haren,Ressegem,Zande,Pellenberg,
155,Anvers,Hendrieken,Borsbeke,Alveringem,Holsbeek,
156,Malines,Hoepertingen,Deftinge,Hoogstade,Kortrijk-Dutsel,
157,Hal,Jesseren,Sint-Maria-Lierde,Oeren,Sint-Pieters-Rode,
158,Baerle-Duc,Kerniel,Hemelveerdegem,Sint-Rijkers,Nieuwrode,
159,Casterlé,Kolmont,Sint-Martens-Lierde,Beveren-aan-de-IJzer,Scherpenheuvel,
160,Lierre,Kuttekoven,Ronse,Gijverinkhove,Averbode,
161,Wavre-Nôtre-Dame,Rijkel,Elene,Izenberge,Zichem,
162,Vieux-Turnhout,Voort,Erwetegem,Leisele,Messelbroek,
163,Saint-Amand-sur-Escaut,Binderveld,Godveerdegem,Stavele,Testelt,
164,Wavre-Sainte-Cathérine,Kozen,Grotenberge,Aarsele,Deurne,
165,Saint-Léonard,Nieuwerkerken,Leeuwergem,Kanegem,Diest,
166,s Gravenwezel,Wijer,Oombergen,Schuiferskapelle,Schaffen,
167,sGravenwezel,Batsheers,Sint-Goriks-Oudenhove,Tielt,Webbekom,
168,,Bovelingen,Sint-Maria-Oudenhove,Ooigem,Kaggevinne,
169,,Gutshoven,Strijpen,Sint-Baafs-Vijve,Molenstede,
170,,Heers,Velzeke-Ruddershove,Wielsbeke,Bost,
171,,Heks,Zottegem,Dentergem,Goetsenhoven,
172,,Horpmaal,Beerlegem,Markegem,Hakendover,
173,,Klein-Gelmen,Dikkele,Oeselgem,Kumtich,
174,,Mechelen-Bovelingen,Hundelgem,Wakken,Oorbeek,
175,,Mettekoven,Meilegem,Beernem,Oplinter,
176,,Opheers,Munkzwalm,Oedelem,Sint-Margriete-Houtem,
177,,Rukkelingen-Loon,Paulatem,Sint-Joris,Tienen,
178,,Vechmaal,Roborst,Egem,Vissenaken,
179,,Veulen,Rozebeke,Pittem,Hoegaarden,
180,,Boekhout,Sint-Blasius-Boekel,Wingene,Meldert,
181,,Gingelom,Sint-Denijs-Boekel,Zwevezele,Outgaarden,
182,,Jeuk,Sint-Maria-Latem,Ruiselede,Drieslinter,
183,,Kortijs,Nederzwalm-Hermelgem,Meulebeke,Linter,
184,,Montenaken,Brakel,Ingelmunster,Melkwezer,
185,,Niel-bij-Sint-Truiden,Elst,Oostrozebeke,Neerhespen,
186,,Vorsen,Everbeek,Waregem,Neerlinter,
187,,Borlo,Michelbeke,Beveren,Orsmaal-Gussenhoven,
188,,Buvingen,Nederbrakel,Desselgem,Overhespen,
189,,Mielen-boven-Aalst,Opbrakel,Sint-Eloois-Vijve,Wommersom,
190,,Muizen,Sint-Maria-Oudenhove,Beveren,Bierbeek,
191,,Overpelt,Zegelsem,Oekene,Korbeek-Lo,
192,,Neerpelt,Parike,Roeselare,Lovenjoel,
193,,Sint-Huibrechts-Lille,Sint-Kornelis-Horebeke,Rumbeke,Opvelp,
194,,Lommel,Sint-Maria-Horebeke,Lichtervelde,Boutersem,
195,,Achel,Etikhove,Torhout,Kerkom,
196,,Hamont,Maarke-Kerkem,Gits,Neervelp,
197,,Hechtel,Nukerke,Hooglede,Roosbeek,
198,,Eksel,Schorisse,Oostnieuwkerke,Vertrijk,
199,,Kwaadmechelen,Berchem,Staden,Willebringen,
200,,Oostham,Kwaremont,Westrozebeke,Bunsbeek,
201,,Bocholt,Ruien,Ardooie,Glabbeek,
202,,Kaulille,Zulzeke,Koolskamp,Kapellen,
203,,Reppel,Bevere,Lendelede,Attenrode,
204,,Beek,Edelare,Emelgem,Houwaart,
205,,Bree,Eine,Izegem,Sint-Joris-Winge,
206,,Gerdingen,Ename,Kachtem,Tielt,
207,,Opitter,Heurne,Ledegem,Meensel-Kiezegem,
208,,Tongerlo,Leupegem,Rollegem-Kapelle,Eliksem,
209,,Leopoldsburg,Mater,Sint-Eloois-Winkel,Ezemaal,
210,,Heppen,Melden,Dadizele,Laar,
211,,Tessenderlo,Mullem,Moorslede,Landen,
212,,Grote-Brogel,Nederename,Brielen,Neerwinden,
213,,Kleine-Brogel,Ooike,Dikkebus,Overwinden,
214,,Peer,Oudenaarde,Ieper,Rumsdorp,
215,,Limburg,Volkegem,Sint-Jan,Wange,
216,,Limburger,Welden,Hollebeke,Waasmont,
217,,Looz,Huise,Voormezele,Walsbets,
218,,Heure-le-Tixhe,Ouwegem,Zillebeke,Walshoutem,
219,,Eur-il-Tîxhe,Zingem,Boezinge,Wezeren,
220,,Fouron-le-Comte,Kruishoutem,Zuidschote,Attenhoven,
221,,Grand-Jamine,Nokere,Elverdinge,Neerlanden,
222,,Grand-Looz,Wannegem-Lede,Vlamertinge,Budingen,
223,,Gossoncourt,Elsegem,Bikschote,Dormaal,
224,,Gutschoven,Moregem,Langemark,Halle-Booienhoven,
225,,Herck-la-Ville,Ooike,Poelkapelle,Helen-Bos,
226,,Goyer,Petegem-aan-de-Schelde,Lauwe,Zoutleeuw,
227,,Tongres,Wortegem,Menen,Geetbets,
228,,Curange,Astene,Rekkem,Grazen,
229,,Lowaige,Bachte-Maria-Leerne,Geluwe,Rummen,
230,,Bourg-Léopold,Deinze,Wervik,Assent,
231,,Limbourg,Gottem,Nieuwkerke,Bekkevoort,
232,,Mouland,Grammene,Dranouter,Molenbeek-Wersbeek,
233,,Niel-Saint-Trond,Meigem,Wulvergem,Kortenaken,
234,,Pirange,Petegem-aan-de-Leie,Wijtschate,Ransberg,
235,,Remersdael,Sint-Martens-Leerne,Westouter,Sint-Margriete-Houtem,
236,,Roclenge-Looz,Vinkt,Kemmel,Hoeleden,
237,,Russon,Wontergem,Mesen,Kersbeek-Miskom,
238,,Hern-Saint-Hubert,Zeveren,Loker,Vlaams-Brabant,
239,,Lille-Saint-Hubert,Eke,Poperinge,Brages,
240,,Herck-Saint-Lambert,Nazareth,Reningelst,Biévène,
241,,Fouron-Saint-Martin,Bottelare,Krombeke,Tourneppe,
242,,Fouron-Saint-Pierre,Lemberge,Proven,Gaesbeek,
243,,Saint-Trond,Melsen,Roesbrugge-Haringe,Gammerages,
244,,Sluse,Merelbeke,Watou,Gossoncourt,
245,,Fall-et-Mheer,Munte,Beselare,Grand-Bigard,
246,,Fologne,Schelderode,Geluveld,Hautecroix,
247,,Flétange,Sint-Martens-Latem,Passendale,Hérinnes,
248,,Fourons,Deurle,Zandvoorde,Héverlé,
249,,Fresin,De Pinte,West-Vlaanderen,Hoeilaert,
250,,Freeren,Zevergem,Bruges,Jezus-Eik,
251,,Frères,Hansbeke,bruge,Notre-Dame-au-Bois,
252,,s Herenelderen,Landegem,Dixmude,Cappelle-au-Bois,
253,,sHerenelderen,Merendree,Ghistelles,Castre,
254,,s-Gravenvoeren,Nevele,De Haan,Lembecq,
255,,,Poesele,Coq-sur-Mer,Louvain,
256,,,Vosselare,Harlebeke,Maillard,
257,,,Balegem,Helchin,Lombeek-Sainte-Marie,
258,,,Gijzenzele,Ypres,Ottenburg,
259,,,Landskouter,Coxyde,Vieux-Héverlé,
260,,,Moortsele,Courtrai,Isque,
261,,,Oosterzele,Menin,Ruysbroeck,
262,,,Scheldewindeke,Messines,Montaigu,
263,,,Machelen,Neuve-Église,Montaigu-Zichem,
264,,,Olsene,Nieuport,Rhode-Sante-Agathe,
265,,,Zulte,Ostende,Berchem-Sainte-Agathe,
266,,,Aalter,La panne,Rhode-Saint-Genèse,
267,,,Lotenhulle,Roulers,Weert-Saint-Georges,
268,,,Poeke,Vive-Saint-Bavon,Winghe-Saint-Georges,
269,,,Bellem,Saint-Genois,Lennick-Saint-Quintin,
270,,,Asper,Vive-Saint-Eloi,Berchem-Saint-Laurent,
271,,,Baaigem,Saint-Jacques-Capelle,Hauthem-Sainte-Marguerite,
272,,,Dikkelvenne,Saint-Georges,Bodegem-Saint-Martin,
273,,,Gavere,Sainte Croix,Lennick-Saint-Martin,
274,,,Semmerzake,Saint Michel,Saint-Pierre-Capelle,
275,,,Vurste,Saint-Ricquiers,Rhode-Saint-Pierre,
276,,,Eeklo,Espierres,Leeuw-Saint-Pierre,
277,,,Knesselare,Furnes,Woluwe-Saint-Étienne,
278,,,Ursel,Wervicq,Cappelle-Saint-Ulric,
279,,,Lovendegem,,Tirlemont,
280,,,Vinderhoute,,Vilvorde,
281,,,Zomergem,,Wamont,
282,,,Oostwinkel,,Houtain-l'Évêque,
283,,,Ronsele,,Léau,
284,,,Ertvelde,,Zuen,
285,,,Evergem,,,
286,,,Kluizen,,,
287,,,Sleidinge,,,
288,,,Waarschoot,,,
289,,,Assenede,,,
290,,,Boekhoute,,,
291,,,Bassevelde,,,
292,,,Oosteeklo,,,
293,,,Kaprijke,,,
294,,,Lembeke,,,
295,,,Sint-Laureins,,,
296,,,Sint-Margriete,,,
297,,,Sint-Jan-in-Eremo,,,
298,,,Waterland-Oudeman,,,
299,,,Watervliet,,,
300,,,Maldegem,,,
301,,,Adegem,,,
302,,,Gand,,,
303,,,Alost,,,
,,,Aeltre,,,
,,,Afsné,,,
,,,Belcele,,,
,,,Termonde,,,
,,,Dèrremonde,,,
,,,Tronchiennes,,,
,,,Everbecq,,,
,,,Grammont,,,
,,,DeKlinge,,,
,,,La Clinge,,,
,,,Middelbourg,,,
,,,Nieukerken-Waes,,,
,,,Audenarde,,,
,,,La Pinte,,,
,,,Puivelde,,,
,,,Puyvelde,,,
,,,Renaix,,,
,,,Sinay,,,
,,,Sinay-Waes,,,
,,,Sinaai,,,
,,,Mont-Saint-Amand,,,
,,,Boucle-Sainte-Blaise,,,
,,,Boucle-Saint-Denis,,,
,,,Saint-Gilles-Waes,,,
,,,Hoorebeke-Saint-Corneille,,,
,,,Winkel-Sainte-Croix,,,
,,,Hauthem-Saint-Liévin,,,
,,,Hoorebeke-Sainte-Marie,,,
,,,Laethem-Sainte-Marie,,,
,,,Audenhove-Sainte-Marie,,,
,,,Laethem-Saint-Martin,,,
,,,Saint-Nicolas,,,
,,,Saint-Paul,,,
,,,Tamise,,,
,,,Velzeke,,,
,,,Velsique,,,
,,,Sulsique,,,
